2024-11-22T22:02:15.657Z,default,2
2024-11-22T22:02:18.401Z,default,3
2024-11-22T22:02:21.023Z,default,4
2024-11-22T22:02:27.023Z,default,2
2024-11-22T22:02:28.886Z,default,3
2024-11-22T22:05:39.448Z,default,1
2024-11-22T22:06:35.227Z,default,1
2024-11-22T22:07:00.465Z,_bw,1
2024-11-22T22:07:08.404Z,_invert,1
2024-11-22T22:07:09.865Z,_invert,2
2024-11-22T22:07:11.454Z,_invert,3
2024-11-22T22:07:13.361Z,_invert,4
2024-11-22T22:07:15.460Z,_invert,5
2024-11-22T22:07:17.667Z,_invert,6
2024-11-22T22:07:19.802Z,_invert,7
2024-11-22T22:07:22.744Z,_invert,8
2024-11-25T21:57:53.319Z,default,1
2024-11-25T21:57:56.085Z,default,2
2024-11-25T21:57:59.515Z,default,3
2024-11-25T21:58:06.447Z,default,4
2024-11-25T21:58:22.791Z,default,5
2024-11-25T21:58:25.262Z,default,6
2024-11-25T21:58:27.356Z,default,7
2024-11-25T21:58:30.216Z,default,8
2024-11-25T21:58:32.944Z,default,9
2024-11-25T21:59:23.856Z,_invert,1
2024-11-25T21:59:27.779Z,_invert,2
2024-11-25T22:00:27.602Z,_invert,3
2024-11-25T22:00:31.986Z,_invert,4
2024-11-25T22:00:35.069Z,_invert,5
2024-11-25T22:09:12.614Z,_invert,6
2024-11-25T22:09:14.829Z,_invert,7
2024-11-25T22:09:17.159Z,_invert,8
2024-11-25T22:09:19.492Z,_invert,9
2024-11-25T22:09:39.993Z,_invert,11
2024-11-25T22:09:41.825Z,_invert,12
2024-11-25T22:09:52.562Z,_invert,13
2024-11-25T22:09:55.272Z,_invert,14
2024-11-25T22:09:58.834Z,_invert,15
2024-11-25T22:10:01.984Z,_invert,16
2024-11-25T22:12:13.616Z,default,1
2024-11-25T22:12:15.598Z,default,2
2024-11-25T22:13:40.709Z,_invert,1
2024-11-25T22:13:42.569Z,_invert,2
2024-11-25T22:13:44.683Z,_invert,3
2024-11-25T22:13:46.933Z,_invert,4
2024-11-25T22:13:49.178Z,_invert,5
2024-11-25T22:14:19.207Z,_invert,6
2024-11-25T22:14:21.629Z,_invert,7
2024-11-25T22:14:54.134Z,_invert,9
2024-11-25T22:14:59.616Z,_invert,10
2024-11-25T22:15:02.107Z,_invert,11
2024-11-25T22:16:30.830Z,_invert,1
2024-11-25T22:16:32.693Z,_invert,2
2024-11-25T22:16:46.232Z,_invert,3
2024-11-25T22:17:00.115Z,_invert,4
2024-11-25T22:17:09.429Z,_invert,5
2024-11-25T22:17:12.405Z,_invert,6
2024-11-25T22:17:52.454Z,_invert,7
2024-11-25T22:17:55.599Z,_invert,8
2024-11-25T22:18:50.124Z,_invert,9
2024-11-25T22:18:52.360Z,_invert,10
2024-11-25T22:18:54.533Z,_invert,11
2024-11-25T22:19:09.358Z,_invert,12
2024-11-25T22:19:11.688Z,_invert,13
2024-11-25T22:19:18.211Z,_invert,14
2024-11-25T22:19:20.579Z,_invert,15
2024-11-25T22:21:22.324Z,_invert,16
2024-11-25T22:21:24.064Z,_invert,17
2024-11-25T22:21:32.691Z,_invert,18
2024-11-25T22:21:38.271Z,_invert,19
2024-11-25T22:21:41.324Z,_invert,20
2024-11-25T22:22:41.080Z,_invert,21
2024-11-25T22:22:55.154Z,_invert,22
2024-11-25T22:22:58.372Z,_invert,23
2024-11-25T22:24:11.201Z,_invert,24
2024-11-25T22:24:26.100Z,_invert,25
2024-11-25T22:24:42.915Z,_invert,26
2024-11-25T22:29:23.402Z,_invert,27
2024-11-25T22:29:25.722Z,_invert,28
